States & Territories,Male,Female,Total
Alabama,7530,7117,14647
Alaska,1,8,9
Arizona,10,7,17
Arkansas,26,30,56
California,65,46,111
Colorado,18,12,30
Connecticut,15,6,21
Delaware,6,6,12
District of Columbia,2,1,3
Florida,426,443,869
Georgia,1358,1426,2784
Hawaii,5,1,6
Idaho,1,0,1
Illinois,64,556,620
Indiana,23,32,55
Iowa,7,3,10
Kansas,6,6,12
Kentucky,130,143,273
Louisiana,103,102,205
Maine,8,7,15
Maryland,38,37,75
Massachusetts,11,8,19
Michigan,27,20,47
Minnesota,17,10,27
Mississippi,78,69,147
Missouri,41,28,69
Montana,5,4,9
Nebraska,8,6,14
Nevada,4,1,5
New Hampshire,5,4,9
New Jersey,35,14,49
New Mexico,6,4,10
New York,31,31,62
North Carolina,81,54,135
North Dakota ,7,5,12
Ohio,55,35,90
Oklahoma,13,6,19
Oregon,9,2,11
Pennsylvania,39,51,90
Rhode Island,11,5,16
South Carolina,99,77,176
South Dakota,5,2,7
Tennessee,380,381,761
Texas,139,120,259
Utah,13,6,19
Vermont,2,3,5
Virginia,102,82,184
Washington,16,11,27
West Virginia,8,9,17
Wisconsin,21,8,29
Wyoming,6,3,9
Guam,0,1,1
Puerto Rico,4,2,6
Virgin Islands,0,1,1
