CaucasianM,10145,10145,9950,10135,9921,10066,10301,10049,9810,9894,9855,10094,10327,10418,10484,10529,10326,10222
CaucasianF ,9143,9143,9160,9242,9149,9343,9626,9574,9448,9578,9632,9754,9938,9886,10043,10300,10155,9977
BlackM,601,601,592,677,671,725,734,726,760,827,828,912,872,814,861,863,832,805
BlackF,746,746,697,820,822,891,907,936,950,1007,1096,1184,1145,1114,1117,1072,1032,1023
Amer.Ind.orAlaskanM,57,57,69,65,54,52,55,65,70,84,81,84,79,74,77,79,76,81
Amer.Ind.orAlaskanF,36,36,40,55,48,52,49,49,46,49,59,63,65,75,88,86,89,96
AsianorPac.IslandM,138,138,128,132,132,141,170,186,182,195,218,240,260,266,262,261,275,293
AsianorPac.IslandF,127,127,138,131,121,149,143,161,178,176,188,195,179,217,241,250,266,266
HispanicM,96,96,87,96,95,105,110,142,153,185,198,241,233,251,303,344,328,288
HispanicF,98,98,76,89,95,105,129,133,157,175,205,228,234,266,289,318,315,287
Non-residentAlienM,420,420,407,396,433,491,552,552,577,515,521,524,615,624,655,670,690,767
Non-residentAlienF,171,171,161,216,227,268,285,305,314,336,328,319,319,335,367,406,396,419
UnknownM,0,0,0,35,48,49,137,164,159,178,195,161,139,143,153,143,178,172
UnknownF,0,0,0,31,44,32,78,110,124,134,143,138,125,119,138,148,176,168
Total,21778,21505,21775,22120,21860,22469,23276,23152,22928,23333,23547,24137,24530,24602,25078,25469,25134,24864
